persona_id,persona_name,brand,similarity,sim_pct,mention_count,mention_pct,gap_score,gap_type
P2,Sandra,Wonderist Agency,0.551756,0.4444,0,0.3056,-0.1389,aligned
P2,Sandra,NoGood,0.618186,0.7778,1,0.6389,-0.1389,aligned
P1,Jordan,Franchise Performance Group,0.535735,0.5,0,0.3611,-0.1389,aligned
P5,Derek,Location3,0.630606,0.8889,1,0.75,-0.1389,aligned
P5,Derek,Cardinal Digital Marketing,0.551924,0.5,0,0.3611,-0.1389,aligned
P3,Ray,Pain-Free Dental Marketing,0.778132,1.0,21,0.8333,-0.1667,aligned
P3,Ray,Great Dental Websites,0.727861,0.8889,12,0.7222,-0.1667,aligned
P5,Derek,SmartBug Media,0.554479,0.5556,0,0.3611,-0.1944,aligned
P4,Christine,SmartBug Media,0.561974,0.5,0,0.3056,-0.1944,aligned
P2,Sandra,Curious Jane,0.565556,0.5556,0,0.3056,-0.25,aligned
P5,Derek,NoGood,0.556834,0.6111,0,0.3611,-0.25,aligned
P1,Jordan,Pain-Free Dental Marketing,0.547133,0.6111,0,0.3611,-0.25,aligned
P4,Christine,NoGood,0.563346,0.5556,0,0.3056,-0.25,aligned
P2,Sandra,Pain-Free Dental Marketing,0.584677,0.6111,0,0.3056,-0.3056,missed_opportunity
P3,Ray,Location3,0.597584,0.6111,0,0.3056,-0.3056,missed_opportunity
P1,Jordan,Cardinal Digital Marketing,0.575318,0.6667,0,0.3611,-0.3056,missed_opportunity
P4,Christine,Franchise Performance Group,0.665519,0.9444,1,0.6389,-0.3056,missed_opportunity
P4,Christine,Directive Consulting,0.57124,0.6111,0,0.3056,-0.3056,missed_opportunity
P5,Derek,Directive Consulting,0.58847,0.7222,0,0.3611,-0.3611,missed_opportunity
P4,Christine,Franchise FastLane,0.578058,0.6667,0,0.3056,-0.3611,missed_opportunity
P1,Jordan,Location3,0.57977,0.7222,0,0.3611,-0.3611,missed_opportunity
P3,Ray,Powered by Search,0.624846,0.7222,0,0.3056,-0.4167,missed_opportunity
P5,Derek,Powered by Search,0.626184,0.7778,0,0.3611,-0.4167,missed_opportunity
P4,Christine,Powered by Search,0.6169,0.8333,0,0.3056,-0.5278,missed_opportunity
P2,Sandra,Powered by Search,0.716781,1.0,0,0.3056,-0.6944,missed_opportunity
