persona_id,persona_name,question_category,brand,similarity
P1,Jordan,agency_discovery,BrandMuscle,0.4413158595561981
P1,Jordan,agency_discovery,Cardinal Digital Marketing,0.5473488569259644
P1,Jordan,agency_discovery,Curious Jane,0.4972682297229767
P1,Jordan,agency_discovery,Directive Consulting,0.6785723567008972
P1,Jordan,agency_discovery,Firegang Dental Marketing,0.36665910482406616
P1,Jordan,agency_discovery,Franchise FastLane,0.39807525277137756
P1,Jordan,agency_discovery,Franchise Performance Group,0.5172128677368164
P1,Jordan,agency_discovery,Great Dental Websites,0.4646236300468445
P1,Jordan,agency_discovery,KickStart Dental Marketing,0.48848217725753784
P1,Jordan,agency_discovery,Location3,0.5497968792915344
P1,Jordan,agency_discovery,NoGood,0.5898807644844055
P1,Jordan,agency_discovery,Pain-Free Dental Marketing,0.5183814764022827
P1,Jordan,agency_discovery,Powered by Search,0.7556911706924438
P1,Jordan,agency_discovery,Refine Labs,0.6368579864501953
P1,Jordan,agency_discovery,SOCi,0.5051981210708618
P1,Jordan,agency_discovery,Scorpion,0.5264344215393066
P1,Jordan,agency_discovery,SmartBug Media,0.5989888310432434
P1,Jordan,agency_discovery,Wonderist Agency,0.4992726445198059
P1,Jordan,capability_fit,BrandMuscle,0.48463165760040283
P1,Jordan,capability_fit,Cardinal Digital Marketing,0.5665532946586609
P1,Jordan,capability_fit,Curious Jane,0.5351800322532654
P1,Jordan,capability_fit,Directive Consulting,0.7153794169425964
P1,Jordan,capability_fit,Firegang Dental Marketing,0.4106281101703644
P1,Jordan,capability_fit,Franchise FastLane,0.4121420979499817
P1,Jordan,capability_fit,Franchise Performance Group,0.5313410758972168
P1,Jordan,capability_fit,Great Dental Websites,0.49148327112197876
P1,Jordan,capability_fit,KickStart Dental Marketing,0.5073865652084351
P1,Jordan,capability_fit,Location3,0.6030224561691284
P1,Jordan,capability_fit,NoGood,0.6056172251701355
P1,Jordan,capability_fit,Pain-Free Dental Marketing,0.5442912578582764
P1,Jordan,capability_fit,Powered by Search,0.756922721862793
P1,Jordan,capability_fit,Refine Labs,0.6310070753097534
P1,Jordan,capability_fit,SOCi,0.5308679342269897
P1,Jordan,capability_fit,Scorpion,0.5544824004173279
P1,Jordan,capability_fit,SmartBug Media,0.6090930104255676
P1,Jordan,capability_fit,Wonderist Agency,0.5221343636512756
P1,Jordan,comparative_evaluative,BrandMuscle,0.4538741707801819
P1,Jordan,comparative_evaluative,Cardinal Digital Marketing,0.5717913508415222
P1,Jordan,comparative_evaluative,Curious Jane,0.523764967918396
P1,Jordan,comparative_evaluative,Directive Consulting,0.6939740777015686
P1,Jordan,comparative_evaluative,Firegang Dental Marketing,0.3724559247493744
P1,Jordan,comparative_evaluative,Franchise FastLane,0.40583154559135437
P1,Jordan,comparative_evaluative,Franchise Performance Group,0.5266751050949097
P1,Jordan,comparative_evaluative,Great Dental Websites,0.47353309392929077
P1,Jordan,comparative_evaluative,KickStart Dental Marketing,0.5048507452011108
P1,Jordan,comparative_evaluative,Location3,0.5679474472999573
P1,Jordan,comparative_evaluative,NoGood,0.6063262820243835
P1,Jordan,comparative_evaluative,Pain-Free Dental Marketing,0.5400391817092896
P1,Jordan,comparative_evaluative,Powered by Search,0.7628666162490845
P1,Jordan,comparative_evaluative,Refine Labs,0.6445813179016113
P1,Jordan,comparative_evaluative,SOCi,0.5154405832290649
P1,Jordan,comparative_evaluative,Scorpion,0.5362114906311035
P1,Jordan,comparative_evaluative,SmartBug Media,0.6116398572921753
P1,Jordan,comparative_evaluative,Wonderist Agency,0.5142419338226318
P1,Jordan,evaluation_trust,BrandMuscle,0.4473209083080292
P1,Jordan,evaluation_trust,Cardinal Digital Marketing,0.5604814291000366
P1,Jordan,evaluation_trust,Curious Jane,0.5082244873046875
P1,Jordan,evaluation_trust,Directive Consulting,0.6605794429779053
P1,Jordan,evaluation_trust,Firegang Dental Marketing,0.3476155400276184
P1,Jordan,evaluation_trust,Franchise FastLane,0.3856000006198883
P1,Jordan,evaluation_trust,Franchise Performance Group,0.5192514657974243
P1,Jordan,evaluation_trust,Great Dental Websites,0.46293458342552185
P1,Jordan,evaluation_trust,KickStart Dental Marketing,0.49655553698539734
P1,Jordan,evaluation_trust,Location3,0.5528892874717712
P1,Jordan,evaluation_trust,NoGood,0.5972673296928406
P1,Jordan,evaluation_trust,Pain-Free Dental Marketing,0.53711998462677
P1,Jordan,evaluation_trust,Powered by Search,0.7523369193077087
P1,Jordan,evaluation_trust,Refine Labs,0.6058472394943237
